COMPANY,TYPENAME,RAM,OS,WEIGHT,PRICE,IPS,TOUCHSCREEN,PIXELS_PI,CLOCK_SPEED,PROCESSOR,HDD,SSD,GPU COMPANY
Dell,Ultrabook,8,Windows,1.88,1194.16,0,0,141.21199808219862,1.9,Intel Core i7,0,512,Intel
HP,Notebook,8,Windows,2.5,824.32,0,0,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia
Chuwi,Notebook,4,Windows,1.89,225.3908,0,0,141.21199808219862,1.44,Other Intel Processor,0,0,Intel
Asus,Notebook,2,Windows,1.65,183.08,0,0,111.93520355955211,1.5,AMD Processor,0,0,AMD
HP,Notebook,4,Windows,2.71,403.88,0,0,127.33567457123111,2.5,AMD Processor,500,0,AMD
Dell,Ultrabook,16,Windows,1.2,1719.48,0,1,276.053530085501,1.8,Intel Core i7,0,512,Intel
Apple,Ultrabook,8,Mac,1.35,918.1600000000001,0,0,127.67794013309688,1.6,Intel Core i5,0,0,Intel
Lenovo,Notebook,4,Windows,1.44,229.08,0,0,111.93520355955211,1.1,Other Intel Processor,0,0,Intel
Acer,Notebook,4,Other OS,2.1,337.64,0,0,100.45466986113651,2.7,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows,2.8,900.6800000000001,1,0,127.33567457123111,1.6,Intel Core i5,1000,128,AMD
HP,Notebook,4,Windows,1.86,449.5948,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.1,808.6800000000001,0,0,141.21199808219862,1.6,Intel Core i5,0,256,Nvidia
Asus,Notebook,4,Other OS,2.0,357.88,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.65,1379.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia
Asus,Notebook,8,Other OS,2.3,481.1508,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,Nvidia
Acer,Notebook,4,Windows,2.2,627.44,1,0,141.21199808219862,1.6,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,12,Windows,2.77,919.08,0,1,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia
Apple,Ultrabook,8,Mac,1.37,1305.48,1,0,226.98300468106115,2.0,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Other OS,2.2,339.48,0,0,100.45466986113651,2.0,Intel Core i3,0,128,Intel
Asus,Gaming,8,Windows,3.2,1195.0800000000002,0,0,127.33567457123111,3.0,AMD Processor,1000,256,AMD
Dell,Notebook,4,Windows,2.3,587.88,0,0,141.21199808219862,2.5,Intel Core i5,0,256,AMD
Asus,Notebook,4,Windows,2.8,428.72,0,0,90.58340172449303,1.1,Other Intel Processor,1000,0,Nvidia
Lenovo,2 in 1 Convertible,4,Other OS,0.69,293.48,1,1,224.17380907857276,1.44,Other Intel Processor,0,0,Intel
Acer,Notebook,8,Windows,2.2,773.72,1,0,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia
HP,Notebook,4,Windows,1.86,366.61080000000004,0,0,141.21199808219862,2.5,AMD Processor,0,256,AMD
HP,Notebook,8,Windows,1.49,1014.76,0,0,165.6321180513006,1.8,Intel Core i7,0,512,Intel
Acer,Notebook,4,Windows,2.4,353.28000000000003,0,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows,2.13,706.376,0,0,141.21199808219862,1.8,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,1.91,403.88,0,0,141.21199808219862,2.0,Intel Core i3,0,128,Intel
Asus,Notebook,4,Windows,2.0,539.2948000000001,0,0,100.45466986113651,2.5,Intel Core i5,0,256,Intel
MSI,Gaming,16,Windows,2.43,2253.08,0,0,127.33567457123111,2.8,Intel Core i7,2000,256,Nvidia
Asus,Notebook,4,Other OS,2.0,381.8,0,0,141.21199808219862,2.0,Intel Core i3,0,256,Intel
Dell,Notebook,16,Windows,2.8,1195.0800000000002,0,0,127.33567457123111,1.8,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.7,808.6800000000001,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
Lenovo,Notebook,8,Other OS,1.7,551.08,1,0,157.3505121487356,2.7,Intel Core i3,0,256,Intel
Asus,Notebook,8,Windows,1.4,865.72,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.86,634.8000000000001,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel
Asus,Ultrabook,16,Windows,1.8,1824.3600000000001,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia
HP,Notebook,4,Windows,1.86,403.5948,0,0,100.45466986113651,2.0,Intel Core i3,500,0,AMD
HP,Notebook,4,Windows,1.44,210.68,0,0,111.93520355955211,1.6,Other Intel Processor,0,32,Intel
Lenovo,Notebook,4,Windows,1.9,505.08000000000004,0,0,141.21199808219862,2.5,Intel Core i5,1000,0,Intel
Asus,Gaming,12,Other OS,3.0,873.08,0,0,127.33567457123111,2.8,Intel Core i7,1000,0,Nvidia
Microsoft,Ultrabook,4,Windows,1.252,1001.88,0,1,200.84255993695703,2.5,Intel Core i5,0,128,Intel
Dell,Ultrabook,8,Windows,1.4,878.6,1,0,165.6321180513006,1.8,Intel Core i7,0,256,AMD
Dell,Notebook,8,Windows,2.2,800.4000000000001,0,0,141.21199808219862,1.8,Intel Core i7,0,256,AMD
MSI,Gaming,8,Windows,2.7,1007.4000000000001,0,0,127.33567457123111,2.5,Intel Core i5,1000,128,Nvidia
Acer,Notebook,8,Windows,2.1,357.88,0,0,111.93520355955211,2.0,Intel Core i3,1000,0,Intel
Asus,Gaming,8,Windows,2.2,873.08,0,0,141.21199808219862,2.8,Intel Core i7,1000,0,Nvidia
Lenovo,Notebook,8,Other OS,2.2,477.48,0,0,141.21199808219862,2.5,Intel Core i5,2000,0,Intel
Dell,Notebook,8,Windows,2.02,786.6,0,0,141.21199808219862,1.8,Intel Core i7,1000,128,Intel
Acer,Notebook,4,Windows,2.2,487.6,0,0,141.21199808219862,2.7,Intel Core i3,1000,0,Nvidia
HP,Notebook,8,Windows,2.5,898.84,0,0,127.33567457123111,1.6,Intel Core i5,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.88,1008.4672000000002,1,0,141.21199808219862,1.6,Intel Core i5,0,256,Intel
Apple,Ultrabook,8,Mac,0.92,1389.2,1,0,226.41554716935852,1.3,Intel Core i5,0,512,Intel
HP,Notebook,8,Windows,1.63,791.2,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows,2.2,367.08000000000004,0,0,141.21199808219862,2.5,AMD Processor,0,128,AMD
Acer,Notebook,4,Windows,2.1,363.40000000000003,0,0,100.45466986113651,3.0,AMD Processor,1000,0,AMD
Dell,Gaming,16,Windows,2.65,1241.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia
HP,Ultrabook,8,Windows,1.83,643.08,1,0,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia
HP,Notebook,8,Windows,1.96,551.0708000000001,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel
Asus,Gaming,16,Windows,2.2,1333.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia
Dell,Ultrabook,8,Windows,1.21,1517.0800000000002,1,0,165.6321180513006,1.8,Intel Core i7,0,256,Intel
Asus,Gaming,8,Windows,2.45,643.08,0,0,141.21199808219862,3.0,AMD Processor,1000,0,AMD
Acer,Notebook,8,Windows,2.2,633.88,0,0,141.21199808219862,1.8,Intel Core i7,1000,0,Nvidia
HP,Notebook,16,Windows,1.49,1101.24,0,0,165.6321180513006,1.8,Intel Core i7,0,512,Intel
Dell,Gaming,8,Windows,2.65,1099.4,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia
Asus,Ultrabook,8,Windows,1.25,965.08,0,0,157.3505121487356,2.7,Intel Core i7,0,256,Intel
Acer,2 in 1 Convertible,8,Windows,1.5,779.24,1,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel
Dell,Notebook,8,Other OS,2.2,551.908,0,0,141.21199808219862,2.7,Intel Core i7,1000,0,AMD
Dell,Notebook,4,Other OS,2.2,446.20000000000005,0,0,141.21199808219862,2.0,Intel Core i3,0,256,AMD
Asus,Notebook,6,Windows,2.0,530.84,0,0,141.21199808219862,2.4,Intel Core i3,0,256,Nvidia
HP,Gaming,12,Windows,2.62,1149.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia
HP,Notebook,8,Windows,1.91,661.48,0,0,141.21199808219862,2.7,Intel Core i7,0,256,AMD
HP,Notebook,4,Windows,2.1,321.08000000000004,0,0,141.21199808219862,1.5,AMD Processor,500,0,AMD
Dell,Notebook,8,Other OS,2.2,595.24,0,0,141.21199808219862,1.6,Intel Core i5,1000,0,AMD
HP,Ultrabook,8,Windows,1.38,1029.48,1,0,165.6321180513006,2.7,Intel Core i7,0,256,Nvidia
Microsoft,Ultrabook,8,Windows,1.252,1232.8,0,1,200.84255993695703,2.5,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.58,606.28,1,0,157.3505121487356,2.5,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,4,Windows,1.85,381.70799999999997,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,Intel
Asus,Ultrabook,8,Windows,1.3,1097.56,1,0,157.3505121487356,2.7,Intel Core i7,0,256,Nvidia
MSI,Gaming,16,Windows,2.2,1195.0800000000002,0,0,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia
Lenovo,Notebook,8,Windows,1.58,1361.6000000000001,1,0,157.3505121487356,2.7,Intel Core i7,0,256,Intel
Asus,Ultrabook,16,Windows,1.5,1161.04,0,0,141.21199808219862,1.8,Intel Core i7,1000,256,Nvidia
Dell,Ultrabook,8,Windows,1.23,1268.68,0,1,276.053530085501,2.4,Intel Core i7,0,256,Intel
Lenovo,2 in 1 Convertible,8,Windows,1.37,1287.0800000000002,1,1,165.6321180513006,2.5,Intel Core i5,0,256,Intel
HP,Notebook,4,Windows,1.63,664.24,1,0,111.93520355955211,1.6,Intel Core i5,500,0,Intel
Dell,Ultrabook,8,Windows,1.21,1498.68,1,0,165.6321180513006,1.6,Intel Core i5,0,256,Intel
HP,2 in 1 Convertible,8,Windows,1.26,1287.0708,1,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel
HP,Notebook,8,Windows,1.63,997.2800000000001,0,0,157.3505121487356,1.8,Intel Core i7,0,512,Intel
Dell,Notebook,8,Windows,2.16,1039.9035999999999,1,0,141.21199808219862,1.8,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows,2.0,518.88,0,0,127.33567457123111,2.0,Intel Core i3,1000,0,Nvidia
Asus,Notebook,8,Windows,1.7,1028.56,0,0,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia
Acer,Notebook,6,Windows,2.1,440.68,1,1,141.21199808219862,2.4,Intel Core i3,1000,0,Intel
MSI,Gaming,16,Windows,1.8,2062.1800000000003,0,0,141.21199808219862,2.8,Intel Core i7,2000,256,Nvidia
Lenovo,Notebook,8,Other OS,2.2,578.6800000000001,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia
HP,Notebook,16,Windows,2.5,1169.3200000000002,0,0,127.33567457123111,1.8,Intel Core i7,0,512,Nvidia
Acer,Notebook,4,Windows,2.1,414.92,0,0,100.45466986113651,3.0,AMD Processor,0,256,AMD
HP,Notebook,4,Other OS,1.86,238.28,0,0,100.45466986113651,1.6,Other Intel Processor,500,0,Intel
HP,Notebook,8,Windows,1.63,747.0400000000001,0,0,157.3505121487356,1.6,Intel Core i5,1000,0,Intel
Asus,Notebook,4,Windows,1.65,255.75080000000003,0,0,111.93520355955211,1.5,AMD Processor,0,64,AMD
Dell,Notebook,16,Windows,2.8,1284.3200000000002,0,0,127.33567457123111,1.8,Intel Core i7,2000,256,AMD
HP,Notebook,8,Windows,2.5,853.76,0,0,127.33567457123111,1.6,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.36,587.8708,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,AMD
Dell,Notebook,4,Windows,2.2,413.08000000000004,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,AMD
Acer,Ultrabook,8,Windows,1.6,813.2800000000001,1,0,157.3505121487356,1.8,Intel Core i7,0,256,Intel
Acer,Notebook,4,Windows,2.2,526.24,0,0,141.21199808219862,2.7,Intel Core i3,0,256,Nvidia
HP,Notebook,8,Windows,2.05,550.16,0,0,100.45466986113651,2.7,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,1.63,908.96,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Intel
Lenovo,Notebook,4,Other OS,1.9,232.17120000000003,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel
Asus,Gaming,8,Windows,3.0,862.96,0,0,127.33567457123111,2.5,Intel Core i5,1000,128,Nvidia
Lenovo,Notebook,4,Other OS,2.2,459.08000000000004,0,0,141.21199808219862,2.5,Intel Core i5,1000,0,Nvidia
HP,Notebook,4,Windows,1.32,643.08,1,0,165.6321180513006,2.5,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,3.0,602.6,1,0,127.33567457123111,2.7,Intel Core i3,1000,0,Nvidia
Lenovo,Notebook,8,Windows,1.75,1026.7384,1,0,157.3505121487356,1.6,Intel Core i5,0,256,AMD
Lenovo,Gaming,8,Other OS,2.4,799.48,1,0,141.21199808219862,2.8,Intel Core i7,0,256,Nvidia
Toshiba,Notebook,4,Windows,2.1,553.84,0,0,100.45466986113651,2.3,Intel Core i5,500,0,Intel
HP,Notebook,4,Windows,1.86,339.48,0,0,100.45466986113651,2.5,AMD Processor,0,256,AMD
Asus,Ultrabook,8,Windows,1.25,1011.08,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Intel
HP,Ultrabook,8,Windows,0.97,1852.88,1,1,352.4651472131677,1.2,Other Intel Processor,0,512,Intel
Asus,Notebook,4,Windows,2.0,316.48,0,0,141.21199808219862,1.1,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.9,1866.68,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,411.24,0,0,100.45466986113651,2.0,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.56,1149.3192000000001,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia
Dell,Gaming,8,Windows,2.62,827.08,0,0,141.21199808219862,2.8,Intel Core i7,0,0,Nvidia
Lenovo,Notebook,4,Windows,1.9,458.16,0,0,100.45466986113651,2.5,Intel Core i5,0,128,Intel
MSI,Gaming,16,Windows,2.8,1738.8000000000002,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia
HP,Ultrabook,4,Windows,1.48,995.44,0,0,157.3505121487356,2.7,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,1.91,569.48,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,4,Windows,1.74,578.6800000000001,1,1,157.3505121487356,2.4,Intel Core i3,0,256,Intel
Asus,2 in 1 Convertible,8,Windows,1.1,1209.8,0,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,8,Windows,1.56,965.08,0,1,141.21199808219862,1.8,Intel Core i7,0,256,Intel
Toshiba,Notebook,4,Windows,2.1,411.24,0,0,100.45466986113651,2.2,Intel Core i3,500,0,Intel
Asus,Notebook,4,Windows,2.03,370.76,0,0,100.45466986113651,3.0,AMD Processor,1000,0,AMD
Acer,Notebook,4,Windows,3.0,740.6,1,0,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.13,669.76,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD
Lenovo,Gaming,16,Windows,2.5,992.6800000000001,1,0,141.21199808219862,2.8,Intel Core i7,0,256,Nvidia
Acer,Notebook,4,Windows,2.1,320.16,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel
MSI,Gaming,16,Windows,2.4,1655.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia
Acer,Notebook,4,Windows,2.1,334.4292,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel
Dell,Gaming,8,Windows,2.56,975.6508,0,0,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia
Acer,Notebook,8,Windows,3.0,785.6800000000001,1,0,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia
HP,Notebook,4,Windows,1.49,693.6800000000001,1,0,165.6321180513006,1.6,Intel Core i5,500,0,Intel
Huawei,Ultrabook,8,Windows,1.05,1241.0800000000002,1,0,199.69207064108247,2.5,Intel Core i5,0,256,Intel
HP,Notebook,6,Windows,2.71,643.08,1,0,127.33567457123111,2.5,Intel Core i5,2000,0,AMD
Lenovo,Notebook,4,Other OS,2.2,284.28000000000003,0,0,100.45466986113651,2.9,AMD Processor,500,0,AMD
Toshiba,Notebook,4,Windows,2.0,449.88,0,0,100.45466986113651,2.4,Intel Core i3,500,0,Intel
HP,Notebook,8,Windows,2.5,849.1600000000001,0,0,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia
Dell,Notebook,8,Windows,2.3,422.28000000000003,0,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel
Acer,Notebook,4,Windows,2.1,413.08000000000004,0,0,100.45466986113651,2.0,Intel Core i3,0,128,Intel
MSI,Gaming,32,Windows,4.4,2575.08,0,0,119.7232157653423,2.9,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,8,Windows,1.9,747.96,0,0,141.21199808219862,2.5,Intel Core i5,1000,128,AMD
HP,2 in 1 Convertible,8,Windows,1.29,1379.0800000000002,1,1,331.2642361026012,1.6,Intel Core i5,0,256,Intel
Dell,Notebook,16,Other OS,2.02,965.08,0,0,141.21199808219862,1.8,Intel Core i7,2000,256,AMD
Dell,Ultrabook,8,Windows,1.23,1287.0800000000002,0,0,165.6321180513006,1.6,Intel Core i5,0,256,Intel
Lenovo,2 in 1 Convertible,16,Windows,1.4,1701.0800000000002,1,1,316.96506044349616,1.8,Intel Core i7,0,512,Intel
Toshiba,Notebook,8,Windows,2.0,729.5600000000001,0,0,100.45466986113651,2.5,Intel Core i5,0,128,Intel
Xiaomi,Notebook,8,Other OS,1.95,1103.0800000000002,1,0,141.21199808219862,1.6,Intel Core i5,0,256,Nvidia
Dell,Notebook,16,Windows,2.77,1425.0800000000002,0,1,127.33567457123111,1.8,Intel Core i7,0,512,Nvidia
Dell,Notebook,16,Windows,2.06,2205.2400000000002,0,1,282.42399616439724,2.8,Intel Core i7,0,512,Nvidia
Lenovo,Gaming,8,Other OS,2.4,716.6800000000001,1,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia
Acer,Ultrabook,8,Windows,1.12,909.88,1,0,165.6321180513006,1.2,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.8,998.2,0,0,127.33567457123111,1.8,Intel Core i7,1000,128,AMD
Lenovo,2 in 1 Convertible,16,Windows,1.42,2598.08,0,1,209.8006828649808,2.7,Intel Core i7,0,1000,Intel
Vero,Notebook,4,Windows,1.3,239.20000000000002,1,0,157.3505121487356,1.1,Other Intel Processor,0,0,Intel
Xiaomi,Ultrabook,8,Other OS,1.3,919.908,1,0,165.6321180513006,2.5,Intel Core i5,0,256,Nvidia
Lenovo,Notebook,8,Other OS,2.8,642.1600000000001,0,0,106.11306214269258,1.6,Intel Core i5,0,256,Nvidia
Dell,2 in 1 Convertible,8,Windows,1.62,771.88,1,1,165.6321180513006,1.8,Intel Core i7,1000,0,Intel
HP,Notebook,8,Windows,2.5,840.88,1,0,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia
Razer,Gaming,32,Windows,3.49,5611.08,0,1,254.67134914246222,2.9,Intel Core i7,0,1000,Nvidia
HP,Notebook,8,Windows,1.49,882.2800000000001,0,0,165.6321180513006,1.6,Intel Core i5,0,512,Intel
HP,Gaming,16,Windows,3.35,1268.68,1,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia
HP,Notebook,8,Windows,2.5,961.4000000000001,0,0,127.33567457123111,1.8,Intel Core i7,0,256,Nvidia
Dell,Gaming,16,Windows,2.65,1697.4,1,0,282.42399616439724,2.8,Intel Core i7,1000,512,Nvidia
Lenovo,Notebook,4,Windows,2.1,453.56,0,0,100.45466986113651,2.3,Intel Core i5,0,128,Intel
Acer,Notebook,8,Windows,2.23,682.64,0,0,141.21199808219862,2.7,Intel Core i7,1000,0,Nvidia
Lenovo,Gaming,16,Windows,3.2,1609.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,512,Nvidia
Dell,Workstation,16,Windows,2.8,2810.6,0,0,282.42399616439724,3.0,Other Intel Processor,1000,256,Nvidia
Lenovo,Gaming,16,Other OS,2.4,1286.16,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia
Dell,Notebook,6,Windows,2.3,403.88,0,1,100.45466986113651,2.4,Intel Core i3,1000,0,Intel
Dell,Ultrabook,8,Windows,1.21,1793.0800000000002,1,1,331.2642361026012,1.8,Intel Core i7,0,256,Intel
Dell,Ultrabook,8,Windows,1.2,1333.0800000000002,0,0,165.6321180513006,1.8,Intel Core i7,0,256,Intel
Lenovo,Notebook,8,Windows,2.2,549.24,0,0,100.45466986113651,2.5,Intel Core i5,0,256,Intel
Acer,Notebook,8,Other OS,2.4,716.6800000000001,0,0,141.21199808219862,2.8,Intel Core i7,1000,0,Nvidia
Asus,Gaming,16,Windows,2.9,1294.44,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia
HP,Notebook,4,Other OS,2.1,321.08000000000004,0,0,141.21199808219862,2.0,Intel Core i3,500,0,Intel
Lenovo,Notebook,8,Other OS,2.2,505.08000000000004,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel
Huawei,Ultrabook,8,Windows,1.05,1379.0800000000002,1,0,199.69207064108247,2.7,Intel Core i7,0,512,Intel
Dell,Ultrabook,8,Windows,1.4,857.3296,1,0,165.6321180513006,1.8,Intel Core i7,0,256,AMD
Lenovo,Notebook,8,Other OS,2.8,541.88,0,0,106.11306214269258,2.5,Intel Core i5,1000,0,Nvidia
HP,Notebook,8,Windows,1.63,948.5200000000001,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Nvidia
Dell,Ultrabook,8,Windows,1.6,1057.0800000000002,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,16,Windows,1.62,1176.68,0,1,165.6321180513006,1.8,Intel Core i7,0,512,Intel
Dell,Notebook,8,Other OS,2.2,623.162,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD
Lenovo,2 in 1 Convertible,8,Windows,1.74,827.08,1,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel
Toshiba,Ultrabook,8,Windows,1.2,1253.96,0,0,165.6321180513006,2.5,Intel Core i7,0,256,Intel
HP,Notebook,8,Windows,2.1,730.48,0,0,141.21199808219862,1.6,Intel Core i5,1000,0,Intel
Dell,Gaming,16,Windows,4.42,2259.8328,1,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia
Acer,Notebook,8,Windows,2.2,765.44,0,0,141.21199808219862,2.7,Intel Core i7,0,256,Nvidia
Dell,Notebook,16,Windows,2.3,790.2892,0,1,141.21199808219862,2.7,Intel Core i7,1000,0,AMD
Asus,Notebook,8,Windows,2.0,707.48,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia
Asus,Notebook,8,Windows,2.69,819.72,0,0,127.33567457123111,2.5,Intel Core i5,500,256,Nvidia
HP,Notebook,8,Windows,1.9,1167.48,0,0,141.21199808219862,2.7,Intel Core i7,1000,0,AMD
Asus,Notebook,4,Windows,2.37,367.0708,0,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel
HP,Notebook,4,Windows,2.1,303.6,0,0,100.45466986113651,1.5,AMD Processor,500,0,AMD
Lenovo,Gaming,16,Windows,3.2,1379.0800000000002,1,0,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia
Dell,Notebook,8,Windows,1.6,790.2800000000001,0,0,157.3505121487356,2.5,Intel Core i5,0,256,Intel
